ErrorCode, Description
 20A, Bearer Service Not Supported
 20b, Tele Service Not Provisioned
 20c, Error Equipment
 20d, Call Barred
 20E, Error Forward Violation
 20F, Error CUG Reject
 21A, Subsequent Handover Failure
 21b, Absent Subscriber for MT
 21C, Incompatible Terminal
 21D, Short Term Denial
 21E, Long Term Denial
 21f, Subscriber Busy for MT
 22C, Number of PW attempts Violation
 22D, Busy Subscriber
 22E, No Reply from Subscriber
 22F, Forwarding Failed
 23A, Unknown or Unreachable LCS Client
 40a, Stack/Sig Error Map Provider Malfunction
 40B, Stack/Sig Error Map Unrecognised Transaction ID
 40C, Stack/Sig Error Dialog Resource Limitation
 40D, Stack/Sig Error Map Maintenance Activity
 40E, Stack/Sig Error Map Version Incompatibility
 40F, Stack/Sig Error Abnormal Map Dialogue
 41A, Sig Error MAP guard timer expired
 41B, Sig Error MAP SPCAUSE mask
 41c, Sig Error MAP No translation Based Address
 41d, Sig Error MAP No translation specific address
 41E, Stack/Sig Application Context Not Supported
 41F, Stack/Sig DlG Invalid Destination Reference
 42a, Sig Error MAP unequipped user
 42b, Sig Error MAP network failure
 42c, Sig Error MAP network congestion
 42d, Sig Error MAP unqualified
 42E, Sig Error MAP HOP Counter violation ANS92
 42F, Sig Error MAP Error in message transport CCIT92
000,NORMAL DELIVERED
001,Source not found|EC_UNKNOWN_SUBSCRIBER
002,Sink not found|EC_UNKNOWN_BASE_STATION
003,Delivery zone not found|DND Fail
004,Mobile Equipment Error
005,Location not found|EC_UNIDENTIFIED_SUBSCRIBER
006,Location blocked|Absent subscriber
007,Reply path not found|UNKNOWN EQUIPMENT
008,Message not submit|FSM TIMEOUT
009,Unsupported number plan|EC_ILLEGAL_SUBSCRIBER
010,Unsupported type of number|EC_BEARER_SERVICE_NOT_PROVISIONED
011,Message not DELIVER or STATUS|EC_TELESERVICE_NOT_PROVISIONED
012,Dialling zone not found|EC_ILLEGAL_EQUIPMENT
013,Not home zone and IMSI not allowed|EC_CALL_BARRED
014,Not home zone and IMSI fetch failed|Barred unauthorized message originator
015,Screening block|CUG REJECT
018,ESME error|message waiting for report expired'
019,Originating location mismatch|SRIAck unsuccessful with any other error codes'
020,Originating reservation failed|EC_SS_INCOMPATIBILITY
021,Originating reservation denied subscription not found|EC_FACILITY_NOT_SUPPORTED
022,Originating reservation denied subscription state illegal|Memory capacity exceeded
023,Originating reservation denied call case blocked for subscription|Unknown Subscriber'
024,Originating reservation denied call case blocked for subscription type|call forbidden'
025,Originating reservation denied low balance|the network does not support SMS'
026, 'teleservice not supported' 
027,Absent subscriber
029, 'HLR:data error in route signal' 
030,Terminating reservation failed|HLR:data lacked'
031,Terminating reservation denied subscription not found|EC_SUBSCRIBER_BUSY_FOR_MT_SMS
032,Terminating reservation denied subscription state illegal|EC_SM_DELIVERY_FAILURE
033,Terminating reservation denied call case blocked for subscription|EC_MESSAGE_WAITING_LIST_FULL
034,Terminating reservation denied call case blocked for subscription type|EC_SYSTEM_FAILURE
035,Terminating reservation denied low balance|EC_DATA_MISSING
036,EC_UNEXPECTED_DATA_VALUE
037, 'Unmarked Subscriber' 
038, 'failure because the subscriber is busy' 
039, 'VMSC isolated' 
040,System is congested|VMSC:data lacked'
041,Originating IMSI mismatch|VMSC:unexpected data'
042, 'MS error' 
043, Not Supported by equipment
044, Illegal equipment
045,Quarantine Add|Unspecific PID Error
046,Quarantine Remove|Message Class Not Supported
047, DCS error
048, TPDU Not Supported
049,Short message delivery failure with memory capacity exceeded 
050,Unexpected error from Store|UNKNOWN ERROR
051,Direct delivery disabled from store|EC_RESOURCE_LIMITATION
053,Message limit exceeded|Subscriber Busy For MT-SMS
054,Retry scheme ended|Data Download Error
060,Originator blocked|Absent subscriber
061,Destination blocked|Absent subscriber
062,Keyword blocked|Absent subscriber
063,SC address blocked|Absent subscriber
064,Blocked due to exceeded quota|Absent subscriber
065,Loop detected|Absent subscriber
066,Data coding scheme blocked|Absent subscriber over GPRS Page Fail
067,Information element identifier blocked|Absent subscriber over GPRS Detached
068,Country Code Validation Block|Absent subscriber over GPRS Deregistered
069,Destination Flooding
070,No ESME provider available|MS store is full'
071,ESME account not connected|EC_UNKNOWN_ALPHABET
072,No ESME sub account routing|EC_USSD_BUSY
074,ESME local throttling - exceeded msg/s|INVALID HEADER IN MSG
080,Home routing sender GT mismatch|PENDING DLR (Retry )
081,Location mismatch between provided location and location known to HLR.|Service not supported
082,IMSI mismatch between provided IMSI |Mistyped parameter
083,Local throttling by sink|No response from the peer
084,The IMSI could not be retrieved from the HSS|Resource limitation
085,The IMEI of the UE is unknown|Initiating release
086,The user location is unknown|Unrecognised error
087,ESME router|Provider Error (In case of any failures observed in TCAP level this error will generate).
088,Network fluctuation from far End Operator(Temporary Error)
089, INVALID PACKET AT SMSC LEVEL
090, USER-ABORT
091, PROVIDER-ABORT
092, MSC NUMBER MISSING
093, Equipment protocol error
094, Equipment not SM equipped
095, Unknown service centre
096, Service Centre congestion
097, INVALID SCHEDULE DELIVERY TIME
098, Subscriber not SC subscriber
099, Invalid SME address
100,Unidentified subscriber|no response from the called subscriber'
1001,No Response from far Network
101,Facility not supported|VMSC:the called MS poweroff'
102,System failure|VMSC:limited due to MS roaming' / SENDER ID BLOCKED
1024,EC_OR_appContextNotSupported
1025,EC_OR_invalidDestinationReference
1026,EC_OR_invalidOriginatingReference;
1027,EC_OR_encapsulatedAC_NotSupported
1028,EC_OR_transportProtectionNotAdequate
1029,EC_OR_noReasonGiven
103,Unexpected data value|ROUTE NOT ACTIVE
1030,EC_OR_potentialVersionIncompatibility
1031,EC_OR_remoteNodeNotReachable
104,Data missing|OFF-NET NOT ACTIVE FOR ACCOUNT/ ON-NET ROUTES NOT DEFINED
105,Equipment protocol error|MTP_FAILURE
106,UNKNOWN service centre address|MS response is overtime'
107,Service centre congestion|HLR:the subscriber is unregistered'
108,Invalid short message entity address|ROUTE BLOCKED FOR THIS SERIES
109,Subscriber not service centre subscriber|MSISDN SERIES NOT CONFIGURED
110,INVALID_DESTINATION_NUMBER
111,Entity not registered
112,Entity Inactive
113,TEMPLATE_CONTENT_MISMATCH
114,Invalid Telemarketer
115,CLI Mismatch with Template
1152,EC_NNR_noTranslationForAnAddressOfSuchNatur
1153,EC_NNR_noTranslationForThisSpecificAddress
1154,EC_NNR_subsystemCongestion
1155,EC_NNR_subsystemFailure
1156,EC_NNR_unequippedUser
1157,EC_NNR_MTPfailure
1158,EC_NNR_networkCongestion
1159,EC_NNR_unqualified
116,Header Inactive
1160,EC_NNR_errorInMessageTransportXUDT
1161,EC_NNR_errorInLocalProcessingXUDT
1162,EC_NNR_destinationCannotPerformReassemblyXUDT
1163, EC_NNR_SCCPfailure
1164, EC_NNR_hopCounterViolation
1165,EC_NNR_segmentationNotSupported
1166,EC_NNR_segmentationFailure
117,Header Blacklisted
118,Template not found
119,Template Inactive
120,Template not Matched
121,Template blacklisted
122,Invalid Consent
123,General Consent error
124,DLT Miscellaneous error
125,TEMPLATE_VARIABLE_EXCEEED
126,Invalid Template id
127,Header not found
128,Entity blacklisted
1281,EC_UA_userSpecificReason
1282,EC_UA_userResourceLimitation
1283,EC_UA_resourceUnavailable
1284,EC_UA_applicationProcedureCancellation
129,Entity not found
130,EC_OR_potentialVersionIncompatibility
131,EC_OR_remoteNodeNotReachable
132, Map Dialog Rejected Refuse Reason: Application Context not supported
133, Map Dialog Rejected Refuse Reason: Potential Version Incompatibility
134, Map Dialog Rejected Refuse Reason: Remote Node not reachable
